,City,State,2021Estimate,2010_census,Change_percent
151,Rio Claro,São Paulo,209548,186253,12.51
152,Passo Fundo,Rio Grande do Sul,206103,184826,11.51
153,Castanhal,Pará,205667,173149,18.78
154,Lauro de Freitas,Bahia,204669,163449,25.22
155,Araçatuba,São Paulo,199210,181579,9.71
156,Ferraz de Vasconcelos,São Paulo,198661,168306,18.04
157,Santa Bárbara d'Oeste,São Paulo,195278,180009,8.48
158,Nova Friburgo,Rio de Janeiro,191664,182082,5.26
159,Nossa Senhora do Socorro,Sergipe,187733,160827,16.73
160,Araguaína,Tocantins,186245,150484,23.76
161,Teresópolis,Rio de Janeiro,185820,163746,13.48
162,Barra Mansa,Rio de Janeiro,185237,177813,4.18
163,Jaraguá do Sul,Santa Catarina,184579,143123,28.97
164,Ibirité,Minas Gerais,184030,158954,15.78
165,Guarapuava,Paraná,183755,167328,9.82
166,São José de Ribamar,Maranhão,180345,163045,10.61
167,Linhares,Espírito Santo,179755,141306,27.21
168,Itapecerica da Serra,São Paulo,179574,152614,17.67
169,Francisco Morato,São Paulo,179372,154472,16.12
170,Palhoça,Santa Catarina,178679,137334,30.11
171,Itu,São Paulo,177150,154147,14.92
172,Mesquita,Rio de Janeiro,177016,168376,5.13
173,Valparaíso de Goiás,Goiás,175720,132982,32.14
174,Bragança Paulista,São Paulo,172346,146744,17.45
175,Pindamonhangaba,São Paulo,171885,146995,16.93
176,Timon,Maranhão,171317,155460,10.2
177,Poços de Caldas,Minas Gerais,169838,152435,11.42
178,Maricá,Rio de Janeiro,167668,127461,31.54
179,Itapetininga,São Paulo,167106,144377,15.74
180,Caxias,Maranhão,166159,155129,7.11
181,Teixeira de Freitas,Bahia,164290,138341,18.76
182,Nilópolis,Rio de Janeiro,162893,157425,3.47
183,São Caetano do Sul,São Paulo,162763,149263,9.04
184,Abaetetuba,Pará,160439,141100,13.71
185,Camaragibe,Pernambuco,159945,144466,10.71
186,Rio das Ostras,Rio de Janeiro,159529,105676,50.96
187,Franco da Rocha,São Paulo,158438,131604,20.39
188,Barreiras,Bahia,158432,137427,15.28
189,Ilhéus,Bahia,157639,184236,-14.44
190,Paranaguá,Paraná,157378,140469,12.04
191,Lages,Santa Catarina,157158,156727,0.28
192,Jequié,Bahia,156277,151895,2.88
193,Patos de Minas,Minas Gerais,154641,138710,11.49
194,Pouso Alegre,Minas Gerais,154293,130615,18.13
195,Mogi Guaçu,São Paulo,154146,137245,12.31
196,Parnaíba,Piauí,153863,145705,5.6
197,Jaú,São Paulo,153463,131040,17.11
198,Alagoinhas,Bahia,153023,141949,7.8
199,Porto Seguro,Bahia,152529,126929,20.17
