,Country,1980,1985,1990,1995,2000,2008,2009,2010,2011,2012,2013,2014,2015,2018
22,Bhutan,0.1,0.1,0.2,0.5,0.7,0.6,0.5,0.7,1.0,1.1,1.2,1.3,1.6,1.9
23,Bolivia,0.8,0.7,0.8,1.3,1.3,1.4,1.4,1.5,1.6,1.8,1.8,1.9,1.8,2.0
24,Bosnia and Herzegovina,0.0,0.0,0.0,0.9,3.7,5.4,5.5,5.7,6.5,6.1,6.1,6.2,6.8,7.8
25,Botswana,1.0,1.0,2.0,1.9,2.2,2.3,1.9,2.3,2.0,2.0,2.5,3.2,3.2,3.2
26,Brazil,1.5,1.3,1.4,1.6,1.9,2.0,1.9,2.1,2.2,2.3,2.5,2.6,2.6,2.4
27,British Virgin Islands,2.7,3.6,4.0,4.6,5.0,6.3,6.2,6.3,6.3,6.2,6.1,6.1,4.9,4.8
28,Brunei,35.5,11.6,23.9,16.1,14.1,24.0,20.5,21.1,24.6,24.2,19.2,22.1,15.6,16.0
29,Bulgaria,8.7,10.0,8.5,6.9,5.3,6.8,5.7,6.0,6.7,6.1,5.5,5.9,6.8,6.3
30,Burkina Faso,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
31,Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cape Verde,0.4,0.3,0.3,0.3,0.5,1.0,1.1,1.1,1.2,1.0,1.0,0.9,1.6,1.9
33,Cambodia,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.6,0.7
34,Cameroon,0.5,0.6,0.1,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.6
35,Canada,18.0,16.3,15.7,15.9,17.4,16.9,16.0,15.7,15.6,14.9,14.6,15.2,16.4,16.1
36,Cayman Islands,10.0,9.9,10.0,11.5,11.2,11.0,10.3,10.0,10.4,9.3,9.2,9.2,8.2,8.1
37,Central African Republic,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
38,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
39,Chile,2.2,1.8,2.5,2.9,3.9,4.3,4.0,4.3,4.6,4.7,4.8,4.7,4.8,5.0
40,China,1.5,1.9,2.2,2.8,2.7,5.7,6.0,6.6,7.2,7.4,7.6,7.5,7.7,8.0
41,Colombia,1.6,1.6,1.7,1.6,1.4,1.5,1.6,1.7,1.6,1.7,1.9,1.8,1.6,1.8
42,Comoros,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
43,Democratic Republic of the Congo,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0
44,Republic of the Congo,0.2,0.6,0.5,0.6,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,1.2,1.3
45,Cook Islands,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.4
46,Costa Rica,1.0,0.8,1.0,1.4,1.4,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.8
47,Ivory Coast,0.8,0.7,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6
48,Croatia,0.0,0.0,0.0,3.6,4.4,5.1,4.8,4.6,4.6,4.2,4.1,4.0,4.4,4.7
49,Cuba,3.2,3.2,3.2,2.4,2.3,2.7,2.6,3.4,3.2,3.2,3.0,3.0,2.7,2.4
50,Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,33.9,37.7,46.7,52.1
51,Cyprus,4.7,4.4,5.7,6.3,7.3,7.9,7.4,6.9,6.6,6.1,5.2,5.3,5.5,6.3
52,Czech Republic,0.0,0.0,0.0,12.0,12.1,11.2,10.3,10.7,10.2,9.6,9.4,9.2,10.1,10.4
53,Denmark,11.8,11.7,9.8,10.9,9.6,8.5,8.1,8.4,7.3,6.5,6.9,5.9,6.0,5.8
54,Djibouti,1.0,0.8,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.7,0.8,1.0,1.1
55,Dominica,0.5,0.6,0.8,1.1,1.5,1.9,1.9,2.0,1.8,1.9,1.8,1.9,1.7,1.7
56,Dominican Republic,1.1,1.1,1.3,2.0,2.3,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2.3
57,Ecuador,1.7,2.1,1.6,2.0,1.6,2.3,2.5,2.4,2.5,2.5,2.6,2.8,2.7,2.6
58,Egypt,1.0,1.3,1.3,1.5,2.0,2.5,2.5,2.4,2.5,2.5,2.4,2.2,2.5,2.5
59,El Salvador,0.5,0.4,0.5,0.9,1.0,1.1,1.0,1.0,1.1,1.1,1.0,1.0,1.2,1.2
60,Equatorial Guinea,0.2,0.2,0.2,0.3,0.7,5.2,5.1,4.9,6.2,4.9,4.8,4.7,3.0,2.5
61,Eritrea,0.0,0.0,0.0,0.3,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.2
62,Estonia,0.0,0.0,0.0,12.2,10.6,13.1,10.9,13.6,14.0,13.3,15.1,14.8,15.1,18.6
63,Eswatini,0.8,0.6,0.5,0.5,1.1,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9
64,Ethiopia,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
65,Falkland Islands,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.6
66,Faroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Fiji,1.3,0.8,1.1,1.0,1.0,1.1,0.9,1.4,1.3,1.2,1.3,1.3,1.4,1.4
68,Finland,12.2,10.1,10.4,10.3,10.1,10.6,10.0,11.6,10.5,9.1,8.7,8.7,8.4,8.8
69,France,9.1,7.1,6.4,5.9,5.9,5.7,5.4,5.4,5.1,5.1,5.1,4.6,5.0,5.0
70,French Guiana,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.6
71,French Polynesia,1.9,3.3,2.2,2.0,2.4,3.2,3.2,3.2,3.1,3.0,3.0,2.9,1.9,2.0
72,Gabon,9.1,7.6,4.7,4.3,3.8,2.7,2.7,2.9,2.9,2.9,2.9,2.8,3.4,3.2
73,Gambia,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3
74,Georgia,0.0,0.0,0.0,0.5,1.0,1.3,1.6,1.6,2.1,2.2,2.1,2.4,2.6,2.8
75,Germany,0.0,0.0,0.0,10.6,10.1,9.5,8.8,9.3,9.1,9.2,9.4,8.9,9.6,9.1
76,Ghana,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.6,0.5,0.6,0.7
77,Gibraltar,2.9,1.5,4.9,9.1,10.7,13.0,14.0,14.0,13.5,13.7,14.5,15.5,16.8,19.6
78,Greece,5.3,6.1,7.3,7.5,8.5,8.7,8.3,7.5,7.2,7.2,6.3,6.2,6.3,6.5
79,Greenland,11.2,9.6,10.0,9.0,9.5,11.7,10.2,11.7,12.4,10.0,9.8,9.0,9.2,9.4
80,Grenada,0.5,0.6,1.1,1.5,1.9,2.4,2.4,2.5,2.4,2.6,2.9,2.3,2.6,2.7
81,Guadeloupe,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2
82,Guam,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
83,Guatemala,0.6,0.4,0.5,0.7,0.9,0.8,0.8,0.8,0.8,0.8,0.9,1.2,1.0,1.2
84,Guinea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2
85,Guinea-Bissau,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
86,Guyana,2.3,1.8,1.5,1.9,2.1,2.1,2.1,2.3,2.4,2.6,2.6,2.6,2.2,2.5
87,Haiti,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
88,Honduras,0.6,0.4,0.5,0.7,0.8,1.1,1.0,1.0,1.1,1.1,1.0,1.1,1.1,1.1
89,Hong Kong,3.3,4.2,4.8,5.1,6.1,6.3,6.0,5.8,6.2,6.1,6.3,6.4,6.2,6.1
90,Hungary,8.1,8.1,6.7,5.8,5.5,5.5,4.8,5.0,4.8,4.5,4.3,4.3,4.8,5.4
91,Iceland,8.2,6.7,7.8,7.3,7.7,6.7,6.4,6.2,5.9,5.6,5.9,6.1,11.6,12.1
92,India,0.5,0.5,0.7,0.8,1.0,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.9
93,Indonesia,0.6,0.7,0.8,1.1,1.2,1.8,1.9,1.8,2.5,2.6,1.9,1.8,1.9,2.1
94,Iran,3.1,3.4,3.7,4.5,5.6,7.4,7.5,7.7,7.8,8.0,8.0,8.3,7.8,8.9
95,Iraq,3.3,2.9,2.7,3.7,3.1,3.2,3.5,3.6,4.2,4.7,4.9,4.8,4.4,4.8
96,Ireland,7.7,7.6,8.9,9.1,10.8,9.6,8.9,8.8,7.8,7.7,7.5,7.3,8.1,7.7
97,Isle of Man,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.2,8.2,8.2,8.2,0.0,0.0,0.0
98,Israel,5.5,5.9,7.8,9.2,9.6,9.3,8.6,9.0,8.9,9.5,8.3,7.9,8.3,7.9
99,Italy,6.9,6.6,7.4,7.6,7.9,7.6,6.8,6.8,6.7,6.2,5.7,5.3,6.0,5.8
100,Jamaica,3.9,2.2,3.1,3.6,3.9,3.7,2.8,2.6,2.8,2.6,2.8,2.6,2.6,2.7
101,Japan,8.1,7.6,8.9,9.4,9.6,9.4,8.6,9.1,9.3,9.6,9.8,9.5,9.6,9.4
102,Jordan,2.0,2.9,2.9,3.0,3.0,3.3,3.2,2.9,2.9,3.1,2.9,3.0,2.8,2.6
103,Kazakhstan,0.0,0.0,0.0,10.7,7.9,14.9,13.3,15.2,15.6,14.5,15.4,14.4,14.6,16.8
104,Kenya,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4
105,Kiribati,0.5,0.3,0.3,0.4,0.3,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.3,0.3
106,North Korea,0.0,0.0,6.5,0.0,3.0,2.9,2.9,2.7,1.9,2.0,1.4,1.6,1.0,1.2
107,South Korea,3.5,4.4,5.8,8.3,9.5,10.3,10.3,11.4,11.8,11.6,11.7,11.6,12.6,13.6
108,Kosovo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0
109,Kuwait,18.0,16.8,24.3,34.0,26.1,31.2,31.0,29.9,28.5,30.1,27.3,25.2,24.3,23.9
110,Kyrgyzstan,0.0,0.0,0.0,1.0,0.9,1.4,1.3,1.2,1.4,1.8,1.7,1.6,1.8,1.7
111,Laos,0.1,0.1,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.4,0.5
112,Latvia,0.0,0.0,0.0,3.8,2.7,3.6,3.4,3.8,3.5,3.5,3.5,3.5,3.9,4.1
113,Lebanon,2.4,3.0,3.0,4.5,4.7,4.2,5.0,4.6,4.5,4.6,4.3,4.3,4.3,4.2
114,Lesotho,0.0,0.0,0.9,1.0,1.0,1.1,1.1,1.1,1.1,1.2,1.1,1.2,0.3,0.3
